,0
abandoned,0.012365783444139916
able,0.02766064855206169
absolute,0.0027186541538269885
adorable,0.002779700926429089
adventurous,0.0014085009314514965
academic,0.0684702262148904
acceptable,0.04099266793406878
acclaimed,0.06294996321607822
accomplished,0.0006270390574557893
accurate,0.0746955698292566
aching,0.001147575885355188
acidic,0.00548831003573626
acrobatic,0.09675148048929388
active,0.040603234304208785
actual,0.006103933571792289
adept,0.08639788914017661
admirable,0.009893545518532556
admired,0.002566282288752959
adolescent,0.002203669978368257
adored,0.004906905985962277
advanced,0.005878964339238858
afraid,0.07575648153372459
affectionate,0.013662120448603573
aged,0.1154982158064695
aggravating,0.05712163461706038
aggressive,0.00576010777584017
agile,0.12005444665171107
agitated,0.1995124820326662
agonizing,0.046290110884542275
agreeable,0.030545010297558576
ajar,0.009199131610998296
alarmed,0.08330123423645525
alarming,0.29847734478886817
alert,0.2517256143522495
alienated,4.44227446751287e-05
alive,0.10105879547622541
all,0.009936238366105465
altruistic,0.29871607432322544
amazing,0.0008857920767936212
ambitious,0.04702010119182059
ample,0.005768120571558112
amused,0.014945334323766088
amusing,0.10563897207955782
anchored,0.04817888986346219
ancient,0.006479884434339582
angelic,0.010240855192885964
angry,0.02107978143748085
anguished,0.03126190512884666
animated,0.026885090854627917
annual,0.13810957131970125
another,0.01380851880476766
antique,0.02240968199739339
anxious,0.011945463890213084
any,0.008603477956404695
apprehensive,0.006441209760101858
appropriate,0.11373684803396215
apt,0.11709424345585405
arctic,0.0009294601023040983
arid,0.002074894273252367
aromatic,0.04434447726708882
artistic,0.0036731208290559656
ashamed,0.0014557221810653288
assured,0.0063101897878926
astonishing,0.006186013096476317
athletic,9.023948442875318e-05
attached,0.028360419240051542
attentive,0.06950719373580498
attractive,0.0029023586686233735
austere,0.22629848017144374
authentic,0.03300397980635378
authorized,0.10457707538849516
automatic,0.06871601491685897
avaricious,0.0005043259024081785
average,0.0010998116015698218
aware,0.04566581275776386
awesome,0.010891854850756433
awful,9.08011036427525e-05
awkward,0.07157084231058863
babyish,0.008021685175580315
bad,0.009305632603309957
back,0.02307326229163694
baggy,0.0337475961592125
bare,0.00746517063769319
barren,0.0061312645146282185
basic,0.03226668013993278
beautiful,0.015512113717807327
belated,0.003858007092617848
beloved,0.0006831190969710395
beneficial,0.026252231048278774
better,0.058829736343381844
best,0.019963849777435434
bewitched,0.013886578236109453
big,0.008038878184968226
big-hearted,0.029286656359713326
biodegradable,0.09097898057056676
bite-sized,0.15823751647730683
bitter,0.011372920884120948
black,0.027511402317336613
black-and-white,0.19354538917839675
bland,0.02132383143617623
blank,0.09712387524999502
blaring,0.9996512072243869
bleak,0.003767747328729667
blind,0.00044368840734428187
blissful,0.018952414201147846
blond,0.00030422704410618237
blue,0.03239929937616251
blushing,0.07413073798272286
bogus,0.00012065991890390732
boiling,0.0842191522867874
bold,0.008495858114762781
bony,0.004262741369567675
boring,0.019005937828965445
bossy,0.01618001805337185
both,0.007200107276491432
bouncy,0.027813852550587596
bountiful,9.800240901090785e-05
bowed,0.0009418065484735373
brave,0.02406181579466488
breakable,0.04383638476421324
brief,0.04238163345049406
bright,0.01978318377316095
brilliant,0.005331386937042221
brisk,0.26885390444156065
broken,0.02164324026365491
bronze,0.031091786112582315
brown,0.0019500632467815673
bruised,0.021515169671995186
bubbly,0.06490726242803015
bulky,0.08418641735812074
bumpy,0.12944244717347755
buoyant,0.0053381051883452735
burdensome,0.021966093388286125
burly,0.021711041241764234
bustling,0.0024940600875711146
busy,0.0670996245262511
buttery,0.12389721225735235
buzzing,0.049247467545099746
calculating,0.009581112952992313
calm,0.002713961487658471
candid,0.04069231724738561
canine,0.06024361867746578
capital,0.0357685618389378
carefree,0.08313558675227595
careful,0.0008630081702589303
careless,0.00467395947892942
caring,0.15151750696060926
cautious,0.0013564895811003243
cavernous,0.05340246377546047
celebrated,0.06755343093850245
charming,0.0003902731727702569
cheap,0.07313419802332098
cheerful,0.005479468974770481
cheery,0.0019142694968531501
chief,0.001011255219845577
chilly,0.09696515997248466
chubby,0.021981738236349205
circular,0.01268519873702005
classic,0.8335798274906157
clean,0.02407087524538502
clear,0.08779141197202034
clear-cut,0.021575905494145523
clever,0.003137109757298267
close,0.20409800885852775
closed,0.0412929606660999
cloudy,0.0896875309896933
clueless,0.00013630435363853787
clumsy,0.0002862170413403936
cluttered,0.015150832474991507
coarse,0.0012801289104380517
cold,0.038777361384243515
colorful,0.00024732083830132987
colorless,0.004024513550592594
colossal,0.01869069206347594
comfortable,0.015500677564023665
common,0.046358340237480034
compassionate,0.22670846401126962
competent,0.000477980437475783
complete,0.028450870518359032
complex,0.015391571646531762
complicated,0.011587292025267293
composed,0.04077588410128827
concerned,0.01872623111883714
concrete,0.0010635041738959784
confused,0.11390745565908579
conscious,0.05977250932902023
considerate,0.0465061801297892
constant,0.002955739131522505
content,0.10585605176148195
conventional,0.0027436047194757847
cooked,0.002407546613162687
cool,0.010366169833095044
cooperative,0.013770377157078727
coordinated,0.011881533141959603
corny,0.021559815647716397
corrupt,0.01846573649210226
costly,0.008746498395943368
courageous,0.0440035879144664
courteous,0.0011390106413105632
crafty,0.0024859598637771096
crazy,0.0023779403184734393
creamy,0.07300829645306207
creative,0.00223353395924968
creepy,0.0002603639724260497
criminal,0.002857357472706045
crisp,0.030887061115080126
critical,0.05768069290784912
crooked,0.01929339635886272
crowded,0.08891489910518921
cruel,0.008129156205099056
crushing,0.003856318415300213
cuddly,0.06474119505911564
cultivated,0.004986939195223285
cultured,0.0009700655418329271
cumbersome,0.10217176229821329
curly,0.05536117985499762
curvy,0.0003004170903838699
cute,0.0008598826114157711
cylindrical,0.011136261294526596
damaged,0.01777876031990601
damp,0.001655696577229142
dangerous,0.04562774266479602
dapper,0.3572088658148678
daring,0.0035953704036815275
darling,0.024301299898439592
dark,0.029884836263677543
dazzling,0.019063796824078435
dead,0.04822369032823524
deadly,0.01956210881536628
